title,grade,genre,people,genre2
부산행,8.59,"액션, 스릴러",11567662,스릴러
분노의 윤리학,6.73,"범죄, 드라마",225618,범죄
분홍신,5.53,"공포, 스릴러",1073189,"공포, 스릴러"
불꽃처럼 나비처럼,6.95,"드라마, 멜로/로맨스",1670652,멜로/로맨스
불신지옥,7.92,"공포, 미스터리",248291,공포
불청객,5.41,"공포, 스릴러",31,"공포, 스릴러"
불한당: 나쁜 놈들의 세상,8.14,"범죄, 액션, 드라마",963239,범죄
뷰티풀 선데이,7.37,"드라마, 액션, 스릴러",169036,액션
뷰티 인사이드,8.26,멜로/로맨스,2058096,멜로/로맨스
브라보 마이 라이프,8.01,"코미디, 드라마",71409,코미디
블라인드,8.08,스릴러,2367942,스릴러
블루,9.03,드라마,"198,500",드라마
비밀은 없다,7,스릴러,250975,스릴러
비스티 보이즈,7.1,드라마,719587,드라마
비열한 거리,8.79,"범죄, 액션, 느와르",1829887,범죄
비천무,5.99,"액션, 멜로/로맨스","717,659",액션
빅매치,7.82,액션,1177435,액션
빨간마후라,7.5,"액션, 드라마",1201944,액션
뺑반,7.16,"범죄, 액션",1827020,범죄
사과,7.9,"멜로/로맨스, 드라마",58233,멜로/로맨스
사냥,5.92,"액션, 스릴러",645834,스릴러
사도,8.49,드라마,6247651,드라마
사랑니(영화),10,"멜로/로맨스, 드라마",135698,멜로/로맨스
사랑방 손님과 어머니,9.01,"드라마, 멜로/로맨스","3,901",멜로/로맨스
사랑하기 때문에,8.38,"코미디, 멜로/로맨스",340936,로맨틱코미디
사생결단,7.43,"느와르, 액션",1724709,느와르
산상수훈,8.29,드라마,55033,드라마
살인의 추억,9.65,"범죄, 미스터리","5,255,376",미스터리
살인의뢰,7.04,"범죄, 스릴러",855988,범죄
살인자,4.13,스릴러,88199,스릴러
살인자의 기억법,8.17,"범죄, 스릴러",2658589,범죄
삼거리극장,8.05,뮤지컬,16063,뮤지컬
상류사회,5.66,드라마,768249,드라마
상의원,7.8,드라마,790370,드라마
색즉시공,7.28,코미디,"4,082,797",코미디
생활의 발견,7.63,"드라마, 멜로/로맨스","124,682",멜로/로맨스
서부전선,7.17,"전쟁, 드라마",609063,전쟁
서양골동양과자점 앤티크,8.21,드라마,1181332,드라마
서편제,8.67,드라마,"1,035,741",드라마
석조저택 살인사건,8.21,"스릴러, 서스펜스",353517,스릴러
선데이서울,3.15,"코미디, SF, 판타지",36865,코미디
선생 김봉두,8.93,"코미디, 드라마","2,472,135",코미디
설국열차,7.98,"SF, 액션, 드라마",9352605,SF
섬. 사라진 사람들,7.84,스릴러,20165,스릴러
성난 변호사,8.49,"범죄, 액션",1131154,범죄
성냥팔이 소녀의 재림,4.16,"액션, 판타지, SF","52,317",액션
성실한 나라의 앨리스,8.13,드라마,44100,드라마
세기말,7.51,드라마,"39,636",드라마
세븐 데이즈,9.06,"범죄, 스릴러",2048339,범죄
